key	date	value
Methylosmolene	4/1/16 0:0:0	2.68382
Methylosmolene	4/1/16 0:0:0	2.63064
Chlorodinine	4/1/16 0:0:0	1.25917
Chlorodinine	4/1/16 0:0:0	0.943983
AGOC-3A	4/1/16 0:0:0	0.722303
Appluimonia	4/1/16 0:0:0	0.518521
Appluimonia	4/1/16 0:0:0	0.502186
AGOC-3A	4/1/16 0:0:0	0.497282
Appluimonia	4/1/16 0:0:0	0.458144
Methylosmolene	4/1/16 0:0:0	0.456104
AGOC-3A	4/1/16 0:0:0	0.438723
Methylosmolene	4/1/16 0:0:0	0.417423
Appluimonia	4/1/16 0:0:0	0.38494
Chlorodinine	4/1/16 0:0:0	0.382308
Appluimonia	4/1/16 0:0:0	0.378015
Appluimonia	4/1/16 0:0:0	0.272886
AGOC-3A	4/1/16 0:0:0	0.242289
Chlorodinine	4/1/16 0:0:0	0.239455
Chlorodinine	4/1/16 0:0:0	0.239101
AGOC-3A	4/1/16 0:0:0	0.228558
Chlorodinine	4/1/16 0:0:0	0.225446
Chlorodinine	4/1/16 0:0:0	0.197804
Methylosmolene	4/1/16 0:0:0	0.196198
AGOC-3A	4/1/16 0:0:0	0.160462
Methylosmolene	4/1/16 0:0:0	0.156771
AGOC-3A	4/1/16 0:0:0	0.15486
Methylosmolene	4/1/16 0:0:0	0.144993
Appluimonia	4/1/16 0:0:0	0.130435
Methylosmolene	4/1/16 0:0:0	0.110788
AGOC-3A	4/1/16 0:0:0	0.105787
AGOC-3A	4/1/16 0:0:0	0.0814906
Appluimonia	4/1/16 0:0:0	0.0296967
Methylosmolene	4/1/16 0:0:0	0.0226431
Chlorodinine	4/1/16 0:0:0	0.0115732
Chlorodinine	4/1/16 0:0:0	0.00473954
Appluimonia	4/1/16 0:0:0	0.0030929
Appluimonia	4/1/16 1:0:0	3.48407
AGOC-3A	4/1/16 1:0:0	2.55736
Methylosmolene	4/1/16 1:0:0	2.26404
Chlorodinine	4/1/16 1:0:0	1.26748
Methylosmolene	4/1/16 1:0:0	0.779529
Chlorodinine	4/1/16 1:0:0	0.708372
Appluimonia	4/1/16 1:0:0	0.63253
Appluimonia	4/1/16 1:0:0	0.565845
AGOC-3A	4/1/16 1:0:0	0.535
Appluimonia	4/1/16 1:0:0	0.452317
AGOC-3A	4/1/16 1:0:0	0.452257
Methylosmolene	4/1/16 1:0:0	0.401722
AGOC-3A	4/1/16 1:0:0	0.394667
Methylosmolene	4/1/16 1:0:0	0.381961
Chlorodinine	4/1/16 1:0:0	0.349223
Chlorodinine	4/1/16 1:0:0	0.345217
Chlorodinine	4/1/16 1:0:0	0.325122
Chlorodinine	4/1/16 1:0:0	0.304023
AGOC-3A	4/1/16 1:0:0	0.301439
Methylosmolene	4/1/16 1:0:0	0.280295
Methylosmolene	4/1/16 1:0:0	0.272105
AGOC-3A	4/1/16 1:0:0	0.261157
Methylosmolene	4/1/16 1:0:0	0.225031
Methylosmolene	4/1/16 1:0:0	0.18997
Methylosmolene	4/1/16 1:0:0	0.186488
Appluimonia	4/1/16 1:0:0	0.168714
Chlorodinine	4/1/16 1:0:0	0.163982
Appluimonia	4/1/16 1:0:0	0.152105
Appluimonia	4/1/16 1:0:0	0.131138
Appluimonia	4/1/16 1:0:0	0.130407
AGOC-3A	4/1/16 1:0:0	0.123042
Chlorodinine	4/1/16 1:0:0	0.0842611
AGOC-3A	4/1/16 1:0:0	0.0827827
Chlorodinine	4/1/16 1:0:0	0.0777142
AGOC-3A	4/1/16 1:0:0	0.0656058
Appluimonia	4/1/16 1:0:0	0.00951907
AGOC-3A	4/1/16 2:0:0	2.39479
Appluimonia	4/1/16 2:0:0	1.66118
Methylosmolene	4/1/16 2:0:0	0.970838
Chlorodinine	4/1/16 2:0:0	0.689016
Appluimonia	4/1/16 2:0:0	0.645735
Methylosmolene	4/1/16 2:0:0	0.634746
Chlorodinine	4/1/16 2:0:0	0.608635
AGOC-3A	4/1/16 2:0:0	0.509981
Methylosmolene	4/1/16 2:0:0	0.474245
AGOC-3A	4/1/16 2:0:0	0.437709
Chlorodinine	4/1/16 2:0:0	0.432936
Chlorodinine	4/1/16 2:0:0	0.428891
Appluimonia	4/1/16 2:0:0	0.396515
Chlorodinine	4/1/16 2:0:0	0.386579
Appluimonia	4/1/16 2:0:0	0.381269
Chlorodinine	4/1/16 2:0:0	0.367956
Chlorodinine	4/1/16 2:0:0	0.32639
AGOC-3A	4/1/16 2:0:0	0.318626
Methylosmolene	4/1/16 2:0:0	0.244736
Methylosmolene	4/1/16 2:0:0	0.23958
Appluimonia	4/1/16 2:0:0	0.236313
Appluimonia	4/1/16 2:0:0	0.208529
AGOC-3A	4/1/16 2:0:0	0.206771
AGOC-3A	4/1/16 2:0:0	0.20397
Appluimonia	4/1/16 2:0:0	0.188443
Chlorodinine	4/1/16 2:0:0	0.165901
Appluimonia	4/1/16 2:0:0	0.0983349
Methylosmolene	4/1/16 2:0:0	0.0704396
Chlorodinine	4/1/16 2:0:0	0.0659318
AGOC-3A	4/1/16 2:0:0	0.0656916
Methylosmolene	4/1/16 2:0:0	0.0511753
Appluimonia	4/1/16 2:0:0	0.0430606
AGOC-3A	4/1/16 2:0:0	0.0389048
Methylosmolene	4/1/16 2:0:0	0.0378444
Methylosmolene	4/1/16 2:0:0	0.0347547
AGOC-3A	4/1/16 2:0:0	0.0304364
Methylosmolene	4/1/16 3:0:0	0.69419
Chlorodinine	4/1/16 3:0:0	0.65151
Appluimonia	4/1/16 3:0:0	0.596467
AGOC-3A	4/1/16 3:0:0	0.5182
Chlorodinine	4/1/16 3:0:0	0.51323
Methylosmolene	4/1/16 3:0:0	0.486087
Appluimonia	4/1/16 3:0:0	0.471165
Appluimonia	4/1/16 3:0:0	0.45342
Appluimonia	4/1/16 3:0:0	0.446928
Methylosmolene	4/1/16 3:0:0	0.437154
AGOC-3A	4/1/16 3:0:0	0.405114
Appluimonia	4/1/16 3:0:0	0.378197
Chlorodinine	4/1/16 3:0:0	0.376071
Chlorodinine	4/1/16 3:0:0	0.364682
AGOC-3A	4/1/16 3:0:0	0.363091
Chlorodinine	4/1/16 3:0:0	0.357711
Methylosmolene	4/1/16 3:0:0	0.353672
Chlorodinine	4/1/16 3:0:0	0.321624
Appluimonia	4/1/16 3:0:0	0.319679
Methylosmolene	4/1/16 3:0:0	0.300778
Appluimonia	4/1/16 3:0:0	0.288575
AGOC-3A	4/1/16 3:0:0	0.280231
Appluimonia	4/1/16 3:0:0	0.26598
Appluimonia	4/1/16 3:0:0	0.26131
Methylosmolene	4/1/16 3:0:0	0.246773
AGOC-3A	4/1/16 3:0:0	0.242014
AGOC-3A	4/1/16 3:0:0	0.198875
AGOC-3A	4/1/16 3:0:0	0.15624
Methylosmolene	4/1/16 3:0:0	0.124396
AGOC-3A	4/1/16 3:0:0	0.0895294
Methylosmolene	4/1/16 3:0:0	0.0808523
Chlorodinine	4/1/16 3:0:0	0.0622761
Chlorodinine	4/1/16 3:0:0	0.0587969
AGOC-3A	4/1/16 3:0:0	0.0585907
Methylosmolene	4/1/16 3:0:0	0.0347694
Chlorodinine	4/1/16 3:0:0	0.0144352
Chlorodinine	4/1/16 4:0:0	1.1394
Chlorodinine	4/1/16 4:0:0	1.03067
AGOC-3A	4/1/16 4:0:0	0.856971
Appluimonia	4/1/16 4:0:0	0.734143
AGOC-3A	4/1/16 4:0:0	0.714903
Methylosmolene	4/1/16 4:0:0	0.667903
Methylosmolene	4/1/16 4:0:0	0.641762
Appluimonia	4/1/16 4:0:0	0.636766
AGOC-3A	4/1/16 4:0:0	0.618398
AGOC-3A	4/1/16 4:0:0	0.523747
AGOC-3A	4/1/16 4:0:0	0.51271
AGOC-3A	4/1/16 4:0:0	0.4967
Methylosmolene	4/1/16 4:0:0	0.476344
Chlorodinine	4/1/16 4:0:0	0.405011
Chlorodinine	4/1/16 4:0:0	0.390987
AGOC-3A	4/1/16 4:0:0	0.375753
AGOC-3A	4/1/16 4:0:0	0.371454
Appluimonia	4/1/16 4:0:0	0.33195
Chlorodinine	4/1/16 4:0:0	0.320612
Methylosmolene	4/1/16 4:0:0	0.313513
Methylosmolene	4/1/16 4:0:0	0.312161
Chlorodinine	4/1/16 4:0:0	0.299912
Methylosmolene	4/1/16 4:0:0	0.284877
Methylosmolene	4/1/16 4:0:0	0.281923
AGOC-3A	4/1/16 4:0:0	0.25342
Appluimonia	4/1/16 4:0:0	0.246868
Appluimonia	4/1/16 4:0:0	0.168924
Appluimonia	4/1/16 4:0:0	0.146269
Appluimonia	4/1/16 4:0:0	0.129247
Chlorodinine	4/1/16 4:0:0	0.127112
Appluimonia	4/1/16 4:0:0	0.119788
Chlorodinine	4/1/16 4:0:0	0.117581
Methylosmolene	4/1/16 4:0:0	0.0899369
Methylosmolene	4/1/16 4:0:0	0.0559182
Chlorodinine	4/1/16 4:0:0	0.033643
Appluimonia	4/1/16 4:0:0	0.0296883
Chlorodinine	4/1/16 5:0:0	2.79331
AGOC-3A	4/1/16 5:0:0	1.03184
Methylosmolene	4/1/16 5:0:0	0.989826
Methylosmolene	4/1/16 5:0:0	0.916534
AGOC-3A	4/1/16 5:0:0	0.69974
Appluimonia	4/1/16 5:0:0	0.664029
Chlorodinine	4/1/16 5:0:0	0.649797
Chlorodinine	4/1/16 5:0:0	0.512425
Chlorodinine	4/1/16 5:0:0	0.446033
Appluimonia	4/1/16 5:0:0	0.421384
Chlorodinine	4/1/16 5:0:0	0.378493
Methylosmolene	4/1/16 5:0:0	0.367007
Methylosmolene	4/1/16 5:0:0	0.36684
AGOC-3A	4/1/16 5:0:0	0.294556
Appluimonia	4/1/16 5:0:0	0.285482
Methylosmolene	4/1/16 5:0:0	0.28066
Appluimonia	4/1/16 5:0:0	0.271384
Methylosmolene	4/1/16 5:0:0	0.259023
Appluimonia	4/1/16 5:0:0	0.256853
Appluimonia	4/1/16 5:0:0	0.253563
AGOC-3A	4/1/16 5:0:0	0.252217
AGOC-3A	4/1/16 5:0:0	0.238353
AGOC-3A	4/1/16 5:0:0	0.209591
Methylosmolene	4/1/16 5:0:0	0.195448
Chlorodinine	4/1/16 5:0:0	0.168359
Chlorodinine	4/1/16 5:0:0	0.148461
Appluimonia	4/1/16 5:0:0	0.147356
Chlorodinine	4/1/16 5:0:0	0.138576
AGOC-3A	4/1/16 5:0:0	0.116403
Chlorodinine	4/1/16 5:0:0	0.108269
Appluimonia	4/1/16 5:0:0	0.0518588
Appluimonia	4/1/16 5:0:0	0.0388837
AGOC-3A	4/1/16 5:0:0	0.0318543
Methylosmolene	4/1/16 5:0:0	0.0203157
Methylosmolene	4/1/16 5:0:0	0.00622426
AGOC-3A	4/1/16 5:0:0	0.00241546
Chlorodinine	4/1/16 6:0:0	3.94462
AGOC-3A	4/1/16 6:0:0	3.81396
Methylosmolene	4/1/16 6:0:0	2.05302
Appluimonia	4/1/16 6:0:0	0.969027
Methylosmolene	4/1/16 6:0:0	0.940167
AGOC-3A	4/1/16 6:0:0	0.822506
Appluimonia	4/1/16 6:0:0	0.78524
Chlorodinine	4/1/16 6:0:0	0.734936
Chlorodinine	4/1/16 6:0:0	0.681112
Appluimonia	4/1/16 6:0:0	0.678525
Methylosmolene	4/1/16 6:0:0	0.673679
Chlorodinine	4/1/16 6:0:0	0.590046
Appluimonia	4/1/16 6:0:0	0.552638
AGOC-3A	4/1/16 6:0:0	0.537672
Chlorodinine	4/1/16 6:0:0	0.524311
Methylosmolene	4/1/16 6:0:0	0.378806
AGOC-3A	4/1/16 6:0:0	0.361752
AGOC-3A	4/1/16 6:0:0	0.348775
Methylosmolene	4/1/16 6:0:0	0.329487
Chlorodinine	4/1/16 6:0:0	0.32179
Methylosmolene	4/1/16 6:0:0	0.250966
Chlorodinine	4/1/16 6:0:0	0.249135
AGOC-3A	4/1/16 6:0:0	0.2396
Appluimonia	4/1/16 6:0:0	0.225316
AGOC-3A	4/1/16 6:0:0	0.210431
AGOC-3A	4/1/16 6:0:0	0.171442
Methylosmolene	4/1/16 6:0:0	0.167723
Methylosmolene	4/1/16 6:0:0	0.148385
Methylosmolene	4/1/16 6:0:0	0.126295
Appluimonia	4/1/16 6:0:0	0.105537
Appluimonia	4/1/16 6:0:0	0.104948
Appluimonia	4/1/16 6:0:0	0.0848154
AGOC-3A	4/1/16 6:0:0	0.0686394
Chlorodinine	4/1/16 6:0:0	0.0627053
Chlorodinine	4/1/16 6:0:0	0.0278427
Appluimonia	4/1/16 6:0:0	0.0228912
AGOC-3A	4/1/16 7:0:0	4.78659
Chlorodinine	4/1/16 7:0:0	3.35156
AGOC-3A	4/1/16 7:0:0	1.02109
Chlorodinine	4/1/16 7:0:0	0.946475
Appluimonia	4/1/16 7:0:0	0.874363
Appluimonia	4/1/16 7:0:0	0.638567
Methylosmolene	4/1/16 7:0:0	0.602402
Chlorodinine	4/1/16 7:0:0	0.544958
Chlorodinine	4/1/16 7:0:0	0.542413
Methylosmolene	4/1/16 7:0:0	0.502477
Appluimonia	4/1/16 7:0:0	0.452319
AGOC-3A	4/1/16 7:0:0	0.426199
Appluimonia	4/1/16 7:0:0	0.421081
Appluimonia	4/1/16 7:0:0	0.386387
Methylosmolene	4/1/16 7:0:0	0.386002
Methylosmolene	4/1/16 7:0:0	0.375589
Chlorodinine	4/1/16 7:0:0	0.343747
Chlorodinine	4/1/16 7:0:0	0.333749
AGOC-3A	4/1/16 7:0:0	0.271824
Appluimonia	4/1/16 7:0:0	0.268262
Methylosmolene	4/1/16 7:0:0	0.268067
Methylosmolene	4/1/16 7:0:0	0.221445
Chlorodinine	4/1/16 7:0:0	0.213374
Chlorodinine	4/1/16 7:0:0	0.188189
AGOC-3A	4/1/16 7:0:0	0.170572
AGOC-3A	4/1/16 7:0:0	0.155064
AGOC-3A	4/1/16 7:0:0	0.0958847
Methylosmolene	4/1/16 7:0:0	0.0929588
Appluimonia	4/1/16 7:0:0	0.089142
Methylosmolene	4/1/16 7:0:0	0.072075
Methylosmolene	4/1/16 7:0:0	0.0330591
AGOC-3A	4/1/16 7:0:0	0.0320344
Appluimonia	4/1/16 7:0:0	0.025392
AGOC-3A	4/1/16 7:0:0	0.0231199
Chlorodinine	4/1/16 7:0:0	0.0142187
Appluimonia	4/1/16 7:0:0	0.0100301
Chlorodinine	4/1/16 8:0:0	3.83947
Appluimonia	4/1/16 8:0:0	2.10568
AGOC-3A	4/1/16 8:0:0	1.61156
Appluimonia	4/1/16 8:0:0	1.23009
Methylosmolene	4/1/16 8:0:0	0.917269
Appluimonia	4/1/16 8:0:0	0.69624
Chlorodinine	4/1/16 8:0:0	0.690937
Methylosmolene	4/1/16 8:0:0	0.553491
AGOC-3A	4/1/16 8:0:0	0.545655
Appluimonia	4/1/16 8:0:0	0.521752
Chlorodinine	4/1/16 8:0:0	0.521053
Appluimonia	4/1/16 8:0:0	0.476664
AGOC-3A	4/1/16 8:0:0	0.451286
Appluimonia	4/1/16 8:0:0	0.419446
Chlorodinine	4/1/16 8:0:0	0.380071
Appluimonia	4/1/16 8:0:0	0.366206
Chlorodinine	4/1/16 8:0:0	0.349802
Appluimonia	4/1/16 8:0:0	0.340732
Chlorodinine	4/1/16 8:0:0	0.331285
Chlorodinine	4/1/16 8:0:0	0.306871
Methylosmolene	4/1/16 8:0:0	0.292984
AGOC-3A	4/1/16 8:0:0	0.285264
Methylosmolene	4/1/16 8:0:0	0.263384
Appluimonia	4/1/16 8:0:0	0.246648
Chlorodinine	4/1/16 8:0:0	0.202865
Methylosmolene	4/1/16 8:0:0	0.177531
Methylosmolene	4/1/16 8:0:0	0.169993
Methylosmolene	4/1/16 8:0:0	0.165458
AGOC-3A	4/1/16 8:0:0	0.1416
Methylosmolene	4/1/16 8:0:0	0.129355
Chlorodinine	4/1/16 8:0:0	0.112167
AGOC-3A	4/1/16 8:0:0	0.0810158
AGOC-3A	4/1/16 8:0:0	0.071417
AGOC-3A	4/1/16 8:0:0	0.0343286
Methylosmolene	4/1/16 8:0:0	0.024255
AGOC-3A	4/1/16 8:0:0	0.0133735
Methylosmolene	4/1/16 9:0:0	1.90111
Appluimonia	4/1/16 9:0:0	1.78909
Appluimonia	4/1/16 9:0:0	0.915939
Chlorodinine	4/1/16 9:0:0	0.71666
Methylosmolene	4/1/16 9:0:0	0.714198
Chlorodinine	4/1/16 9:0:0	0.659626
Chlorodinine	4/1/16 9:0:0	0.655028
AGOC-3A	4/1/16 9:0:0	0.639886
Methylosmolene	4/1/16 9:0:0	0.601663
Appluimonia	4/1/16 9:0:0	0.586124
AGOC-3A	4/1/16 9:0:0	0.544795
Methylosmolene	4/1/16 9:0:0	0.522087
Methylosmolene	4/1/16 9:0:0	0.474724
Appluimonia	4/1/16 9:0:0	0.451534
AGOC-3A	4/1/16 9:0:0	0.407047
Appluimonia	4/1/16 9:0:0	0.37218
AGOC-3A	4/1/16 9:0:0	0.307569
Methylosmolene	4/1/16 9:0:0	0.304597
Appluimonia	4/1/16 9:0:0	0.300466
Chlorodinine	4/1/16 9:0:0	0.288103
Appluimonia	4/1/16 9:0:0	0.274487
AGOC-3A	4/1/16 9:0:0	0.270683
AGOC-3A	4/1/16 9:0:0	0.230418
Appluimonia	4/1/16 9:0:0	0.217195
Chlorodinine	4/1/16 9:0:0	0.204093
AGOC-3A	4/1/16 9:0:0	0.201245
AGOC-3A	4/1/16 9:0:0	0.201125
Chlorodinine	4/1/16 9:0:0	0.199124
Methylosmolene	4/1/16 9:0:0	0.126885
Chlorodinine	4/1/16 9:0:0	0.10603
Methylosmolene	4/1/16 9:0:0	0.0988394
Chlorodinine	4/1/16 9:0:0	0.0948834
Chlorodinine	4/1/16 9:0:0	0.0700218
AGOC-3A	4/1/16 9:0:0	0.0455874
Methylosmolene	4/1/16 9:0:0	0.0419438
Appluimonia	4/1/16 9:0:0	0.041054
Methylosmolene	4/1/16 10:0:0	0.786521
AGOC-3A	4/1/16 10:0:0	0.772321
Methylosmolene	4/1/16 10:0:0	0.756304
Chlorodinine	4/1/16 10:0:0	0.726825
Methylosmolene	4/1/16 10:0:0	0.670043
Appluimonia	4/1/16 10:0:0	0.657709
Chlorodinine	4/1/16 10:0:0	0.572236
AGOC-3A	4/1/16 10:0:0	0.565408
Chlorodinine	4/1/16 10:0:0	0.483525
Methylosmolene	4/1/16 10:0:0	0.457522
AGOC-3A	4/1/16 10:0:0	0.44956
Chlorodinine	4/1/16 10:0:0	0.417886
Appluimonia	4/1/16 10:0:0	0.384311
Chlorodinine	4/1/16 10:0:0	0.374429
Methylosmolene	4/1/16 10:0:0	0.337672
Appluimonia	4/1/16 10:0:0	0.332215
Appluimonia	4/1/16 10:0:0	0.326147
Appluimonia	4/1/16 10:0:0	0.304952
Appluimonia	4/1/16 10:0:0	0.289997
Chlorodinine	4/1/16 10:0:0	0.274667
AGOC-3A	4/1/16 10:0:0	0.271139
Appluimonia	4/1/16 10:0:0	0.268343
AGOC-3A	4/1/16 10:0:0	0.24401
Methylosmolene	4/1/16 10:0:0	0.218184
AGOC-3A	4/1/16 10:0:0	0.200995
Chlorodinine	4/1/16 10:0:0	0.192601
Appluimonia	4/1/16 10:0:0	0.183642
Methylosmolene	4/1/16 10:0:0	0.163966
AGOC-3A	4/1/16 10:0:0	0.162566
Appluimonia	4/1/16 10:0:0	0.156522
AGOC-3A	4/1/16 10:0:0	0.152753
Methylosmolene	4/1/16 10:0:0	0.141456
Chlorodinine	4/1/16 10:0:0	0.128094
Chlorodinine	4/1/16 10:0:0	0.057487
AGOC-3A	4/1/16 10:0:0	0.0251836
Methylosmolene	4/1/16 10:0:0	0.00298162
Methylosmolene	4/1/16 11:0:0	4.39846
Appluimonia	4/1/16 11:0:0	1.02831
AGOC-3A	4/1/16 11:0:0	0.967785
Methylosmolene	4/1/16 11:0:0	0.87337
Methylosmolene	4/1/16 11:0:0	0.854138
Appluimonia	4/1/16 11:0:0	0.78212
Methylosmolene	4/1/16 11:0:0	0.773302
Chlorodinine	4/1/16 11:0:0	0.70332
Chlorodinine	4/1/16 11:0:0	0.559303
AGOC-3A	4/1/16 11:0:0	0.502717
Appluimonia	4/1/16 11:0:0	0.453267
AGOC-3A	4/1/16 11:0:0	0.430635
Appluimonia	4/1/16 11:0:0	0.42455
Appluimonia	4/1/16 11:0:0	0.404981
Chlorodinine	4/1/16 11:0:0	0.392052
Methylosmolene	4/1/16 11:0:0	0.29769
Methylosmolene	4/1/16 11:0:0	0.259342
Methylosmolene	4/1/16 11:0:0	0.242137
Chlorodinine	4/1/16 11:0:0	0.241334
Chlorodinine	4/1/16 11:0:0	0.234759
Chlorodinine	4/1/16 11:0:0	0.229816
Methylosmolene	4/1/16 11:0:0	0.228423
Chlorodinine	4/1/16 11:0:0	0.227113
AGOC-3A	4/1/16 11:0:0	0.18658
AGOC-3A	4/1/16 11:0:0	0.171654
Chlorodinine	4/1/16 11:0:0	0.16321
Appluimonia	4/1/16 11:0:0	0.150965
Methylosmolene	4/1/16 11:0:0	0.143529
Appluimonia	4/1/16 11:0:0	0.132435
Appluimonia	4/1/16 11:0:0	0.120384
AGOC-3A	4/1/16 11:0:0	0.11802
AGOC-3A	4/1/16 11:0:0	0.0669641
AGOC-3A	4/1/16 11:0:0	0.0666572
Appluimonia	4/1/16 11:0:0	0.036502
Chlorodinine	4/1/16 11:0:0	0.025848
AGOC-3A	4/1/16 11:0:0	0.0143858
Methylosmolene	4/1/16 12:0:0	2.97161
Methylosmolene	4/1/16 12:0:0	1.9822
Chlorodinine	4/1/16 12:0:0	0.833999
AGOC-3A	4/1/16 12:0:0	0.81394
