wind-direction	wind-speed	Year	Month	Day	Hour	Minutes	Seconds
190.5	4	2016	4	1	0	0	0
203.3	5	2016	4	1	3	0	0
201.1	5.2	2016	4	1	6	0	0
204.9	4.1	2016	4	1	9	0	0
207	3.6	2016	4	1	12	0	0
207.1	3	2016	4	1	15	0	0
243.8	1.9	2016	4	1	18	0	0
262.1	2.9	2016	4	1	21	0	0
262.3	2.9	2016	4	2	0	0	0
271.8	2.8	2016	4	2	3	0	0
279.8	1.5	2016	4	2	6	0	0
272.3	1.3	2016	4	2	9	0	0
203.3	1.3	2016	4	2	12	0	0
188.6	2.1	2016	4	2	15	0	0
199.9	2.7	2016	4	2	18	0	0
225	2.6	2016	4	2	21	0	0
274.7	2.8	2016	4	3	0	0	0
298.9	2.2	2016	4	3	3	0	0
316.9	2.1	2016	4	3	6	0	0
328.3	3.7	2016	4	3	9	0	0
324.8	4.3	2016	4	3	12	0	0
313.1	4.6	2016	4	3	15	0	0
295.2	5.2	2016	4	3	18	0	0
296.4	5.6	2016	4	3	21	0	0
299.4	4.3	2016	4	4	0	0	0
302	4	2016	4	4	3	0	0
295.7	2	2016	4	4	6	0	0
292.1	1.4	2016	4	4	9	0	0
292.5	1.4	2016	4	4	12	0	0
325.8	0.8	2016	4	4	15	0	0
358.4	1.2	2016	4	4	18	0	0
344.1	1.8	2016	4	4	21	0	0
341.7	1.7	2016	4	5	0	0	0
351.6	1.8	2016	4	5	3	0	0
1.3	1.3	2016	4	5	6	0	0
353.9	1.2	2016	4	5	9	0	0
347.3	2.5	2016	4	5	12	0	0
318.4	3	2016	4	5	15	0	0
312.9	3.6	2016	4	5	18	0	0
309.1	3.2	2016	4	5	21	0	0
307.1	2.3	2016	4	6	0	0	0
289.4	1.5	2016	4	6	3	0	0
270.8	0.9	2016	4	6	6	0	0
245.1	0.8	2016	4	6	9	0	0
225.6	0.8	2016	4	6	12	0	0
206.9	2	2016	4	6	15	0	0
200.7	3.3	2016	4	6	18	0	0
193.2	3.8	2016	4	6	21	0	0
175.1	2.9	2016	4	7	0	0	0
182.5	3	2016	4	7	3	0	0
169.2	2.8	2016	4	7	6	0	0
168.8	2.3	2016	4	7	9	0	0
170.5	2.9	2016	4	7	12	0	0
172.1	3.7	2016	4	7	15	0	0
157.1	4.4	2016	4	7	18	0	0
141.1	5.2	2016	4	7	21	0	0
156.4	5.2	2016	4	8	0	0	0
196.5	2.5	2016	4	8	3	0	0
222.7	1.3	2016	4	8	6	0	0
201.2	0.7	2016	4	8	9	0	0
200.2	0.5	2016	4	8	12	0	0
249.7	1.2	2016	4	8	15	0	0
221.3	2.6	2016	4	8	18	0	0
245	2.8	2016	4	8	21	0	0
265.4	2.4	2016	4	9	0	0	0
279.8	2.3	2016	4	9	3	0	0
277.5	2.6	2016	4	9	6	0	0
289.4	2.5	2016	4	9	9	0	0
296.6	2.2	2016	4	9	12	0	0
294.9	2.6	2016	4	9	15	0	0
318.9	2.8	2016	4	9	18	0	0
315.9	2.9	2016	4	9	21	0	0
336.8	2.7	2016	4	10	0	0	0
334.8	3.3	2016	4	10	3	0	0
334.3	3.5	2016	4	10	6	0	0
326.9	2.6	2016	4	10	9	0	0
305.7	2.8	2016	4	10	12	0	0
292.2	2.4	2016	4	10	15	0	0
287	2.8	2016	4	10	18	0	0
279.8	2.4	2016	4	10	21	0	0
292.5	0.6	2016	4	11	0	0	0
158.9	0.6	2016	4	11	3	0	0
145.2	1.1	2016	4	11	6	0	0
155.9	2.3	2016	4	11	9	0	0
160.5	2.9	2016	4	11	12	0	0
164.1	3.3	2016	4	11	15	0	0
174.4	3.6	2016	4	11	18	0	0
172.9	2.6	2016	4	11	21	0	0
171.5	2.6	2016	4	12	0	0	0
187.1	2.9	2016	4	12	3	0	0
174.8	2.2	2016	4	12	6	0	0
170.1	2.4	2016	4	12	9	0	0
197.6	1.1	2016	4	12	12	0	0
277.5	1.6	2016	4	12	15	0	0
288.7	2.6	2016	4	12	18	0	0
286.4	3.2	2016	4	12	21	0	0
282.2	1.8	2016	4	13	0	0	0
292.9	1.8	2016	4	13	3	0	0
291.3	1.9	2016	4	13	6	0	0
305.6	2	2016	4	13	9	0	0
327	2.6	2016	4	13	12	0	0
325.7	2.7	2016	4	13	15	0	0
330	2	2016	4	13	18	0	0
336.6	2	2016	4	13	21	0	0
334.5	1	2016	4	14	0	0	0
9.8	0.6	2016	4	14	3	0	0
9.8	0.8	2016	4	14	6	0	0
357.1	0.4	2016	4	14	9	0	0
59.6	1	2016	4	14	12	0	0
354.8	0.8	2016	4	14	15	0	0
351.4	1.8	2016	4	14	18	0	0
0.1	2.3	2016	4	14	21	0	0
5.5	1.4	2016	4	15	0	0	0
30.6	0.8	2016	4	15	3	0	0
53.4	0.6	2016	4	15	6	0	0
40.1	0.6	2016	4	15	9	0	0
67.4	1.2	2016	4	15	12	0	0
32.5	2.4	2016	4	15	15	0	0
19.5	2.6	2016	4	15	18	0	0
10.7	2.8	2016	4	15	21	0	0
13.4	1.4	2016	4	16	0	0	0
27.1	1.1	2016	4	16	3	0	0
49.6	0.5	2016	4	16	6	0	0
68	0.4	2016	4	16	9	0	0
59	0.8	2016	4	16	12	0	0
55.1	1.3	2016	4	16	15	0	0
28.3	1.1	2016	4	16	18	0	0
4.1	1.6	2016	4	16	21	0	0
45.6	0.8	2016	4	17	0	0	0
130.2	1.1	2016	4	17	3	0	0
128.3	0.7	2016	4	17	6	0	0
176.3	0.6	2016	4	17	9	0	0
279.8	0.3	2016	4	17	12	0	0
308.2	0.8	2016	4	17	15	0	0
311.1	1.5	2016	4	17	18	0	0
315.5	2.5	2016	4	17	21	0	0
306.4	1.1	2016	4	18	0	0	0
302.9	0.6	2016	4	18	3	0	0
296	0.5	2016	4	18	6	0	0
0.1	0.5	2016	4	18	9	0	0
337.9	0.9	2016	4	18	12	0	0
340	0.9	2016	4	18	15	0	0
353.4	1.2	2016	4	18	18	0	0
355.7	1.2	2016	4	18	21	0	0
9.8	0.4	2016	4	19	0	0	0
354.9	0.5	2016	4	19	3	0	0
358.3	0.9	2016	4	19	6	0	0
344.6	1.1	2016	4	19	9	0	0
336.1	1.6	2016	4	19	12	0	0
327.4	3.1	2016	4	19	15	0	0
321.8	4.3	2016	4	19	18	0	0
319.6	4.8	2016	4	19	21	0	0
328.1	3.4	2016	4	20	0	0	0
331.5	3.3	2016	4	20	3	0	0
341.8	2.9	2016	4	20	6	0	0
341.9	2.1	2016	4	20	9	0	0
355.1	2.4	2016	4	20	12	0	0
341	2.1	2016	4	20	15	0	0
326.2	2.5	2016	4	20	18	0	0
322.9	3	2016	4	20	21	0	0
315.7	1.2	2016	4	21	0	0	0
249.1	0.8	2016	4	21	3	0	0
211.1	0.6	2016	4	21	6	0	0
196.9	0.8	2016	4	21	9	0	0
221.2	0.5	2016	4	21	12	0	0
250.2	1.9	2016	4	21	15	0	0
267.3	2.2	2016	4	21	18	0	0
276.3	2.3	2016	4	21	21	0	0
315.9	0.7	2016	4	22	0	0	0
189.8	0.4	2016	4	22	3	0	0
160.8	0.7	2016	4	22	6	0	0
235	1	2016	4	22	9	0	0
162	0.7	2016	4	22	12	0	0
188.9	2.2	2016	4	22	15	0	0
211.5	3.2	2016	4	22	18	0	0
251.2	2.9	2016	4	22	21	0	0
306.5	1.2	2016	4	23	0	0	0
313.9	1.2	2016	4	23	3	0	0
326.7	2.1	2016	4	23	6	0	0
332.4	2.2	2016	4	23	9	0	0
333.6	2.7	2016	4	23	12	0	0
328	3.2	2016	4	23	15	0	0
328.9	3.4	2016	4	23	18	0	0
329.5	3.8	2016	4	23	21	0	0
331.8	2.5	2016	4	24	0	0	0
338.6	2.1	2016	4	24	3	0	0
346.9	2.3	2016	4	24	6	0	0
336.2	2.1	2016	4	24	9	0	0
339	3.2	2016	4	24	12	0	0
345.5	3	2016	4	24	15	0	0
335.1	2.9	2016	4	24	18	0	0
311.5	2.9	2016	4	24	21	0	0
286.7	1.6	2016	4	25	0	0	0
256.1	0.9	2016	4	25	3	0	0
293.8	1.5	2016	4	25	6	0	0
294.4	1	2016	4	25	9	0	0
313.5	1.9	2016	4	25	12	0	0
292.3	2.6	2016	4	25	15	0	0
296.2	3.2	2016	4	25	18	0	0
315.3	3	2016	4	25	21	0	0
329	1.5	2016	4	26	0	0	0
5.1	0.7	2016	4	26	3	0	0
9.8	0.3	2016	4	26	6	0	0
26.9	0.3	2016	4	26	9	0	0
91.9	0.7	2016	4	26	12	0	0
36.8	0.5	2016	4	26	15	0	0
9.8	0.5	2016	4	26	18	0	0
290.5	1.2	2016	4	26	21	0	0
306.6	1.2	2016	4	27	0	0	0
258.7	0.8	2016	4	27	3	0	0
285.6	1.2	2016	4	27	6	0	0
315.1	1.2	2016	4	27	9	0	0
303.3	2.2	2016	4	27	12	0	0
285.6	2.6	2016	4	27	15	0	0
281.3	3.2	2016	4	27	18	0	0
284.3	3.5	2016	4	27	21	0	0
312.2	3.1	2016	4	28	0	0	0
331.3	1.3	2016	4	28	3	0	0
299.6	0.5	2016	4	28	6	0	0
307.5	2	2016	4	28	9	0	0
329.1	3.1	2016	4	28	12	0	0
328.7	2.3	2016	4	28	15	0	0
318.5	1.8	2016	4	28	18	0	0
323.9	2.1	2016	4	28	21	0	0
349.4	1.4	2016	4	29	0	0	0
44.6	0.9	2016	4	29	3	0	0
359.1	0.4	2016	4	29	6	0	0
46.3	0.2	2016	4	29	9	0	0
177.9	1.3	2016	4	29	12	0	0
228.6	1.7	2016	4	29	15	0	0
252.9	1.5	2016	4	29	18	0	0
272.7	1.9	2016	4	29	21	0	0
346.2	1.2	2016	4	30	0	0	0
69.6	0.8	2016	4	30	3	0	0
21.8	0.7	2016	4	30	6	0	0
38.3	0.7	2016	4	30	9	0	0
350.4	0.4	2016	4	30	12	0	0
299.7	1.1	2016	4	30	15	0	0
324.3	1.5	2016	4	30	18	0	0
311.8	1.2	2016	4	30	21	0	0
225	2.6	2016	8	4	18	0	0
229.7	2.8	2016	8	4	21	0	0
231.1	1	2016	8	5	0	0	0
187.2	0.8	2016	8	5	3	0	0
178.7	0.9	2016	8	5	6	0	0
176.4	0.9	2016	8	5	9	0	0
181.2	1.8	2016	8	5	12	0	0
196.2	2.5	2016	8	5	15	0	0
201.5	3.8	2016	8	5	18	0	0
212.9	3.4	2016	8	5	21	0	0
200.2	3	2016	8	6	0	0	0
206.5	3.1	2016	8	6	3	0	0
204.9	2.1	2016	8	6	6	0	0
217.3	2.1	2016	8	6	9	0	0
226.6	1.7	2016	8	6	12	0	0
268.4	3.4	2016	8	6	15	0	0
288.7	3.3	2016	8	6	18	0	0
307.1	3.4	2016	8	6	21	0	0
303.2	2	2016	8	7	0	0	0
287.7	0.9	2016	8	7	3	0	0
235.9	0.3	2016	8	7	6	0	0
262.2	0.7	2016	8	7	9	0	0
271.6	1.1	2016	8	7	12	0	0
288.4	3.1	2016	8	7	15	0	0
286.7	3.1	2016	8	7	18	0	0
286.3	3.2	2016	8	7	21	0	0
294.1	2	2016	8	8	0	0	0
279.8	0.8	2016	8	8	3	0	0
241	0.4	2016	8	8	6	0	0
252.3	0.7	2016	8	8	9	0	0
235	0.9	2016	8	8	12	0	0
279.8	3.9	2016	8	8	15	0	0
288.1	4	2016	8	8	18	0	0
304.2	3.1	2016	8	8	21	0	0
307.4	1.7	2016	8	9	0	0	0
279.8	0.4	2016	8	9	3	0	0
342.7	0.5	2016	8	9	6	0	0
233.6	0.3	2016	8	9	9	0	0
99.8	0.2	2016	8	9	12	0	0
294	1.3	2016	8	9	15	0	0
278.6	1.6	2016	8	9	18	0	0
257.7	1.6	2016	8	9	21	0	0
175.9	0.4	2016	8	10	0	0	0
135.2	0.6	2016	8	10	3	0	0
128.3	0.7	2016	8	10	6	0	0
151.5	1.2	2016	8	10	9	0	0
169.9	1.9	2016	8	10	12	0	0
198.4	2.4	2016	8	10	15	0	0
200	3.1	2016	8	10	18	0	0
216.1	2.1	2016	8	10	21	0	0
205.5	1.4	2016	8	11	0	0	0
189.8	0.8	2016	8	11	3	0	0
193.5	0.6	2016	8	11	6	0	0
184.4	1.2	2016	8	11	9	0	0
194.6	1.4	2016	8	11	12	0	0
263.4	2.4	2016	8	11	15	0	0
274.8	2.9	2016	8	11	18	0	0
295	2.6	2016	8	11	21	0	0
320.3	0.6	2016	8	12	0	0	0
226.6	0.5	2016	8	12	3	0	0
158.6	0.6	2016	8	12	6	0	0
197.1	1	2016	8	12	9	0	0
209.9	2.6	2016	8	12	12	0	0
248.1	2.6	2016	8	12	15	0	0
279.8	1.9	2016	8	12	18	0	0
291.7	1.4	2016	8	12	21	0	0
323.9	0.6	2016	8	13	0	0	0
350.1	0.8	2016	8	13	3	0	0
254.6	0.1	2016	8	13	6	0	0
131.6	1.3	2016	8	13	9	0	0
136.9	2	2016	8	13	12	0	0
146.9	2.1	2016	8	13	15	0	0
136.2	2.2	2016	8	13	18	0	0
135.8	2.8	2016	8	13	21	0	0
143.6	2.5	2016	8	14	0	0	0
159.2	2.9	2016	8	14	3	0	0
174	2.9	2016	8	14	6	0	0
200.4	2.7	2016	8	14	9	0	0
213.2	2.5	2016	8	14	12	0	0
252.2	3.6	2016	8	14	15	0	0
279.8	3	2016	8	14	18	0	0
296.7	2.4	2016	8	14	21	0	0
306.8	2.3	2016	8	15	0	0	0
301.9	1.7	2016	8	15	3	0	0
275.3	2	2016	8	15	6	0	0
287.6	2.1	2016	8	15	9	0	0
321.2	1.7	2016	8	15	12	0	0
324	3	2016	8	15	15	0	0
319.8	2.8	2016	8	15	18	0	0
314.1	2.3	2016	8	15	21	0	0
303.7	0.8	2016	8	16	0	0	0
211.3	0.5	2016	8	16	3	0	0
189.8	0.6	2016	8	16	6	0	0
173.7	0.5	2016	8	16	9	0	0
146.8	0.9	2016	8	16	12	0	0
191.4	1.6	2016	8	16	15	0	0
198.5	2.9	2016	8	16	18	0	0
156	1.8	2016	8	16	21	0	0
136.2	3.2	2016	8	17	0	0	0
154.5	4	2016	8	17	3	0	0
181.5	1.5	2016	8	17	6	0	0
223.2	1.4	2016	8	17	9	0	0
293.7	3.4	2016	8	17	12	0	0
302.5	3.4	2016	8	17	15	0	0
315	4	2016	8	17	18	0	0
315.7	2.8	2016	8	17	21	0	0
290.2	0.7	2016	8	18	0	0	0
228.2	0.6	2016	8	18	3	0	0
196	0.7	2016	8	18	6	0	0
187.7	0.9	2016	8	18	9	0	0
183.6	1.1	2016	8	18	12	0	0
266.8	2.8	2016	8	18	15	0	0
289.4	2.9	2016	8	18	18	0	0
302.7	3.1	2016	8	18	21	0	0
301.3	1.3	2016	8	19	0	0	0
279.8	0.3	2016	8	19	3	0	0
279.8	0.2	2016	8	19	6	0	0
