wind-direction	wind-speed	Year	Month	Day	Hour	Minutes	Seconds
317.5	0.7	2016	8	19	9	0	0
326.3	1.1	2016	8	19	12	0	0
332.1	2.5	2016	8	19	15	0	0
320.9	2.5	2016	8	19	18	0	0
322.4	2.5	2016	8	19	21	0	0
328.7	1.1	2016	8	20	0	0	0
99.8	0.3	2016	8	20	3	0	0
113.8	1	2016	8	20	6	0	0
119.9	1.1	2016	8	20	9	0	0
137	1.7	2016	8	20	12	0	0
163.1	2.3	2016	8	20	15	0	0
167.2	3.4	2016	8	20	18	0	0
169.5	3.3	2016	8	20	21	0	0
148.3	2.2	2016	8	21	0	0	0
144.9	2	2016	8	21	3	0	0
157.1	2.4	2016	8	21	6	0	0
163.1	2.2	2016	8	21	9	0	0
163.3	3.8	2016	8	21	12	0	0
174	5	2016	8	21	15	0	0
169.4	5.4	2016	8	21	18	0	0
158.1	4.4	2016	8	21	21	0	0
164.7	3.1	2016	8	22	0	0	0
155	2.5	2016	8	22	3	0	0
185	0.5	2016	8	22	6	0	0
276	1.6	2016	8	22	9	0	0
287	2.8	2016	8	22	12	0	0
291.4	3.9	2016	8	22	15	0	0
296.3	4.1	2016	8	22	18	0	0
299.5	4.2	2016	8	22	21	0	0
302	3	2016	8	23	0	0	0
307.6	1.5	2016	8	23	3	0	0
253.8	0.7	2016	8	23	6	0	0
213.1	0.6	2016	8	23	9	0	0
209.2	0.7	2016	8	23	12	0	0
261.8	2.9	2016	8	23	15	0	0
251.5	3.3	2016	8	23	18	0	0
243.3	3.2	2016	8	23	21	0	0
244.1	1.6	2016	8	24	0	0	0
215.1	0.7	2016	8	24	3	0	0
173.3	0.8	2016	8	24	6	0	0
171	0.7	2016	8	24	9	0	0
165.7	0.7	2016	8	24	12	0	0
250.4	2.9	2016	8	24	15	0	0
237.1	2.6	2016	8	24	18	0	0
221.6	2.3	2016	8	24	21	0	0
197.5	1.1	2016	8	25	0	0	0
174.7	1.2	2016	8	25	3	0	0
197.4	1.5	2016	8	25	6	0	0
171.4	1.4	2016	8	25	9	0	0
200.6	2.8	2016	8	25	12	0	0
206.3	2.9	2016	8	25	15	0	0
211	3	2016	8	25	18	0	0
217.4	2.4	2016	8	25	21	0	0
222.6	1.6	2016	8	26	0	0	0
216.5	1.3	2016	8	26	3	0	0
178.3	1.1	2016	8	26	6	0	0
194.4	1.6	2016	8	26	9	0	0
199	0.9	2016	8	26	12	0	0
248.9	3	2016	8	26	15	0	0
273.6	3.9	2016	8	26	18	0	0
286.1	4.1	2016	8	26	21	0	0
291.6	2	2016	8	27	0	0	0
279.8	0.1	2016	8	27	3	0	0
308	0.4	2016	8	27	6	0	0
309.5	0.4	2016	8	27	9	0	0
323	0.9	2016	8	27	12	0	0
332.4	2.2	2016	8	27	15	0	0
323.8	2.4	2016	8	27	18	0	0
329.9	2	2016	8	27	21	0	0
320.2	0.6	2016	8	28	0	0	0
115.4	0.6	2016	8	28	3	0	0
116.9	1.3	2016	8	28	6	0	0
128.5	1	2016	8	28	9	0	0
161	1.4	2016	8	28	12	0	0
186.3	3.1	2016	8	28	15	0	0
191.7	3.1	2016	8	28	18	0	0
189.8	2.7	2016	8	28	21	0	0
178.2	1.4	2016	8	29	0	0	0
189.8	1.5	2016	8	29	3	0	0
225.9	1.2	2016	8	29	6	0	0
260.5	1.7	2016	8	29	9	0	0
288	2.7	2016	8	29	12	0	0
303.4	4.1	2016	8	29	15	0	0
309.6	4.2	2016	8	29	18	0	0
315.7	3.6	2016	8	29	21	0	0
315.7	1.2	2016	8	30	0	0	0
		2016	8	30	3	0	0
99.8	0.2	2016	8	30	6	0	0
189.8	0.3	2016	8	30	9	0	0
202.9	0.6	2016	8	30	12	0	0
262	1.7	2016	8	30	15	0	0
242.5	1.9	2016	8	30	18	0	0
262.4	2.1	2016	8	30	21	0	0
233.7	0.9	2016	8	31	0	0	0
161.7	0.9	2016	8	31	3	0	0
171.2	1	2016	8	31	6	0	0
185.9	1.1	2016	8	31	9	0	0
215.1	1.1	2016	8	31	12	0	0
236	2.4	2016	8	31	15	0	0
232.4	2.1	2016	8	31	18	0	0
235.3	1.6	2016	8	31	21	0	0
125.8	4.2	2016	12	1	0	0	0
128.4	4.7	2016	12	1	3	0	0
131.4	4.3	2016	12	1	6	0	0
129.7	5.5	2016	12	1	9	0	0
146.6	2	2016	12	1	12	0	0
175.5	0.4	2016	12	1	15	0	0
246.4	1.8	2016	12	1	18	0	0
261	3.7	2016	12	1	21	0	0
254.2	3	2016	12	2	0	0	0
272.1	3.2	2016	12	2	3	0	0
261.3	2.3	2016	12	2	6	0	0
253.4	2	2016	12	2	9	0	0
217.4	1.7	2016	12	2	12	0	0
225.9	2.5	2016	12	2	15	0	0
222.1	2.3	2016	12	2	18	0	0
258.3	2.6	2016	12	2	21	0	0
290.4	2.4	2016	12	3	0	0	0
283.4	3.1	2016	12	3	3	0	0
285.8	3	2016	12	3	6	0	0
294	3.6	2016	12	3	9	0	0
309.6	3.7	2016	12	3	12	0	0
306.8	3.5	2016	12	3	15	0	0
311.4	4	2016	12	3	18	0	0
314.7	3.7	2016	12	3	21	0	0
320.4	3.7	2016	12	4	0	0	0
313	3.6	2016	12	4	3	0	0
318	3.5	2016	12	4	6	0	0
308.2	3.2	2016	12	4	9	0	0
309.2	3.2	2016	12	4	12	0	0
313.2	3.7	2016	12	4	15	0	0
312.9	3.8	2016	12	4	18	0	0
318.9	2.7	2016	12	4	21	0	0
324.3	1.2	2016	12	5	0	0	0
38	0.3	2016	12	5	3	0	0
155.2	0.8	2016	12	5	6	0	0
150.5	1.2	2016	12	5	9	0	0
174.5	1.9	2016	12	5	12	0	0
140.2	2.2	2016	12	5	15	0	0
160.9	2.7	2016	12	5	18	0	0
175.8	1.8	2016	12	5	21	0	0
251.8	1.9	2016	12	6	0	0	0
293.3	2.9	2016	12	6	3	0	0
308.6	2.4	2016	12	6	6	0	0
311.7	1.8	2016	12	6	9	0	0
307.9	1.7	2016	12	6	12	0	0
321.1	1.8	2016	12	6	15	0	0
326	1.4	2016	12	6	18	0	0
355.5	0.6	2016	12	6	21	0	0
65.9	0.6	2016	12	7	0	0	0
134.9	0.7	2016	12	7	3	0	0
145	1.2	2016	12	7	6	0	0
153.4	1.3	2016	12	7	9	0	0
144.5	1.2	2016	12	7	12	0	0
184.1	2.2	2016	12	7	15	0	0
197.6	3	2016	12	7	18	0	0
221.5	2	2016	12	7	21	0	0
227.7	1.3	2016	12	8	0	0	0
242.8	1.8	2016	12	8	3	0	0
239.5	1.3	2016	12	8	6	0	0
221	1.9	2016	12	8	9	0	0
189.8	1.9	2016	12	8	12	0	0
211.8	2.7	2016	12	8	15	0	0
226	2.9	2016	12	8	18	0	0
271.4	3	2016	12	8	21	0	0
249.2	1.7	2016	12	9	0	0	0
253.9	3.8	2016	12	9	3	0	0
266.3	3.9	2016	12	9	6	0	0
283.2	4	2016	12	9	9	0	0
289.2	4.8	2016	12	9	12	0	0
290.6	4.2	2016	12	9	15	0	0
287.2	5.1	2016	12	9	18	0	0
286.1	4.5	2016	12	9	21	0	0
297	4.8	2016	12	10	0	0	0
308	4.4	2016	12	10	3	0	0
295.4	3.1	2016	12	10	6	0	0
308.8	3.4	2016	12	10	9	0	0
310.3	3	2016	12	10	12	0	0
309.4	4.1	2016	12	10	15	0	0
309.5	4	2016	12	10	18	0	0
309.9	3.2	2016	12	10	21	0	0
279.8	1.4	2016	12	11	0	0	0
239.8	0.8	2016	12	11	3	0	0
221	0.8	2016	12	11	6	0	0
228.1	0.8	2016	12	11	9	0	0
213.8	0.8	2016	12	11	12	0	0
227.6	1.1	2016	12	11	15	0	0
228.2	1.6	2016	12	11	18	0	0
215.6	1	2016	12	11	21	0	0
145.4	1.5	2016	12	12	0	0	0
137.6	1.9	2016	12	12	3	0	0
131.3	2.5	2016	12	12	6	0	0
136.8	3.5	2016	12	12	9	0	0
134	3.9	2016	12	12	12	0	0
142.9	2.5	2016	12	12	15	0	0
189.8	1.9	2016	12	12	18	0	0
208.7	1.5	2016	12	12	21	0	0
227.7	2.2	2016	12	13	0	0	0
272.4	3.3	2016	12	13	3	0	0
293.5	4.1	2016	12	13	6	0	0
293.5	3.7	2016	12	13	9	0	0
285.2	2.6	2016	12	13	12	0	0
269.3	2.7	2016	12	13	15	0	0
224.2	1.8	2016	12	13	18	0	0
181.2	1.9	2016	12	13	21	0	0
176.2	2.9	2016	12	14	0	0	0
176.2	2.5	2016	12	14	3	0	0
198.3	2.6	2016	12	14	6	0	0
216.3	2.6	2016	12	14	9	0	0
272	2.3	2016	12	14	12	0	0
290.9	3.6	2016	12	14	15	0	0
271	3.1	2016	12	14	18	0	0
229	1.5	2016	12	14	21	0	0
231	3.7	2016	12	15	0	0	0
204	2.7	2016	12	15	3	0	0
194.6	2.3	2016	12	15	6	0	0
279.8	0.2	2016	12	15	9	0	0
262.3	2.5	2016	12	15	12	0	0
279.8	5.4	2016	12	15	15	0	0
282.3	6.7	2016	12	15	18	0	0
284.6	4.6	2016	12	15	21	0	0
303.5	6.8	2016	12	16	0	0	0
304.2	6.3	2016	12	16	3	0	0
299.7	5.4	2016	12	16	6	0	0
301.6	4.8	2016	12	16	9	0	0
295.2	3.1	2016	12	16	12	0	0
286.8	3	2016	12	16	15	0	0
276.2	2.8	2016	12	16	18	0	0
227.1	1.4	2016	12	16	21	0	0
169.9	1.4	2016	12	17	0	0	0
186	1.9	2016	12	17	3	0	0
185.3	1.8	2016	12	17	6	0	0
164	1.9	2016	12	17	9	0	0
154.6	2.4	2016	12	17	12	0	0
156.9	2.5	2016	12	17	15	0	0
146.5	2.1	2016	12	17	18	0	0
161.8	1	2016	12	17	21	0	0
177.9	0.9	2016	12	18	0	0	0
173.3	1.4	2016	12	18	3	0	0
165.9	1.6	2016	12	18	6	0	0
173.6	2.2	2016	12	18	9	0	0
186.5	2.3	2016	12	18	12	0	0
182	3.5	2016	12	18	15	0	0
291.6	3.7	2016	12	18	18	0	0
287.7	4.1	2016	12	18	21	0	0
292.5	4.4	2016	12	19	0	0	0
299.9	5.1	2016	12	19	3	0	0
308.5	3.9	2016	12	19	6	0	0
313.4	2.8	2016	12	19	9	0	0
318.1	1	2016	12	19	12	0	0
299.1	1.3	2016	12	19	15	0	0
300.1	1.6	2016	12	19	18	0	0
249.2	0.9	2016	12	19	21	0	0
222.7	1	2016	12	20	0	0	0
184.8	1	2016	12	20	3	0	0
208.4	0.6	2016	12	20	6	0	0
175.3	0.4	2016	12	20	9	0	0
182.6	0.7	2016	12	20	12	0	0
176.4	1.9	2016	12	20	15	0	0
195.9	3	2016	12	20	18	0	0
179.8	2.9	2016	12	20	21	0	0
189.8	2.9	2016	12	21	0	0	0
200.3	3.2	2016	12	21	3	0	0
215.6	2.5	2016	12	21	6	0	0
216.8	2.6	2016	12	21	9	0	0
211.2	2.2	2016	12	21	12	0	0
242.2	2.3	2016	12	21	15	0	0
252.5	3.8	2016	12	21	18	0	0
256.8	3.6	2016	12	21	21	0	0
259.3	2.1	2016	12	22	0	0	0
251.6	2.2	2016	12	22	3	0	0
218.5	1.4	2016	12	22	6	0	0
188.7	2	2016	12	22	9	0	0
186.5	2.5	2016	12	22	12	0	0
187.9	2.4	2016	12	22	15	0	0
203.5	1.9	2016	12	22	18	0	0
271.2	1.3	2016	12	22	21	0	0
299.5	2.1	2016	12	23	0	0	0
296.2	2.6	2016	12	23	3	0	0
293.9	3.2	2016	12	23	6	0	0
279.8	3	2016	12	23	9	0	0
257.2	2.6	2016	12	23	12	0	0
263.1	3.6	2016	12	23	15	0	0
237.7	3.2	2016	12	23	18	0	0
232.2	2.6	2016	12	23	21	0	0
202.6	1.6	2016	12	24	0	0	0
172.3	1.2	2016	12	24	3	0	0
180.3	1.5	2016	12	24	6	0	0
179.9	1.2	2016	12	24	9	0	0
165	2	2016	12	24	12	0	0
203.2	4	2016	12	24	15	0	0
205.5	3.4	2016	12	24	18	0	0
268.1	3.6	2016	12	24	21	0	0
282.3	3.5	2016	12	25	0	0	0
278.3	3.9	2016	12	25	3	0	0
279.8	4.3	2016	12	25	6	0	0
298	4.8	2016	12	25	9	0	0
312.9	5.5	2016	12	25	12	0	0
321.2	5.9	2016	12	25	15	0	0
323	5	2016	12	25	18	0	0
326.7	3.7	2016	12	25	21	0	0
332.1	2.1	2016	12	26	0	0	0
319.2	1.4	2016	12	26	3	0	0
345.9	0.5	2016	12	26	6	0	0
78.9	0.7	2016	12	26	9	0	0
130.6	0.9	2016	12	26	12	0	0
147.1	1.8	2016	12	26	15	0	0
162.4	3.4	2016	12	26	18	0	0
166.8	5.4	2016	12	26	21	0	0
174.7	4.6	2016	12	27	0	0	0
177.8	4.9	2016	12	27	3	0	0
189.8	3.8	2016	12	27	6	0	0
205.2	3.3	2016	12	27	9	0	0
241.3	4.9	2016	12	27	12	0	0
273.8	4.6	2016	12	27	15	0	0
275.6	4.3	2016	12	27	18	0	0
284	4.8	2016	12	27	21	0	0
284	4.5	2016	12	28	0	0	0
272	3.4	2016	12	28	3	0	0
270	3.4	2016	12	28	6	0	0
271.3	3.1	2016	12	28	9	0	0
282.5	2.9	2016	12	28	12	0	0
303.5	2.9	2016	12	28	15	0	0
300.4	3.5	2016	12	28	18	0	0
308.4	2.9	2016	12	28	21	0	0
307.7	1.1	2016	12	29	0	0	0
234.7	0.4	2016	12	29	3	0	0
143.2	0.7	2016	12	29	6	0	0
128.5	1.3	2016	12	29	9	0	0
138.8	2.8	2016	12	29	12	0	0
145.5	3.9	2016	12	29	15	0	0
141.3	3.4	2016	12	29	18	0	0
127	3.3	2016	12	29	21	0	0
125.7	1.9	2016	12	30	0	0	0
110.9	0.5	2016	12	30	3	0	0
311	3.3	2016	12	30	6	0	0
288	6	2016	12	30	9	0	0
275.9	5.1	2016	12	30	12	0	0
261.4	4.1	2016	12	30	15	0	0
265.9	5.1	2016	12	30	18	0	0
269.9	4.9	2016	12	30	21	0	0
276.8	4.6	2016	12	31	0	0	0
282.5	4.1	2016	12	31	3	0	0
277	3.6	2016	12	31	6	0	0
282.5	3.1	2016	12	31	9	0	0
279.8	1.5	2016	12	31	12	0	0
207.1	1.9	2016	12	31	15	0	0
177	3.3	2016	12	31	18	0	0
161	3.5	2016	12	31	21	0	0   